name,method,explored_states,solution_length,undo_moves,time,heuristic,no_pulls,caching
easy_map1,beam_search,168,19,0,0.008352994918823242,best,True,True
easy_map2,beam_search,112,9,0,0.005891323089599609,best,True,True
hard_map1,beam_search,1130,44,0,0.0964500904083252,best,True,True
hard_map2,beam_search,865,39,0,0.06735992431640625,best,True,True
large_map1,beam_search,579,29,0,0.06241941452026367,best,True,True
large_map2,beam_search,1325,50,0,0.19164824485778809,best,True,True
medium_map1,beam_search,653,27,0,0.05179452896118164,best,True,True
medium_map2,beam_search,716,32,0,0.06070351600646973,best,True,True
super_hard_map1,beam_search,1735,63,0,0.1675863265991211,best,True,True
easy_map1,beam_search,169,17,1,0.009853363037109375,best,True,True
easy_map2,beam_search,119,9,0,0.00942683219909668,best,True,True
hard_map1,beam_search,804,30,1,0.09397435188293457,best,True,True
hard_map2,beam_search,891,35,2,0.09197425842285156,best,True,True
large_map1,beam_search,542,25,6,0.07642507553100586,best,True,True
large_map2,beam_search,796,32,2,0.1398637294769287,best,True,True
medium_map1,beam_search,190,11,3,0.029070615768432617,best,True,True
medium_map2,beam_search,441,19,4,0.05415773391723633,best,True,True
super_hard_map1,beam_search,1022,37,13,0.15394163131713867,best,True,True
easy_map1,beam_search,169,17,1,0.009490489959716797,best,False,True
easy_map2,beam_search,119,9,0,0.008183956146240234,best,False,True
hard_map1,beam_search,804,30,1,0.09500908851623535,best,False,True
hard_map2,beam_search,891,35,2,0.08771395683288574,best,False,True
large_map1,beam_search,542,25,6,0.0732877254486084,best,False,True
large_map2,beam_search,796,32,2,0.13319706916809082,best,False,True
medium_map1,beam_search,190,11,3,0.0220029354095459,best,False,True
medium_map2,beam_search,441,19,4,0.052620649337768555,best,False,True
super_hard_map1,beam_search,1022,37,13,0.15222930908203125,best,False,True
easy_map1,beam_search,168,19,0,0.007910966873168945,second,True,True
easy_map2,beam_search,112,9,0,0.005882978439331055,second,True,True
hard_map1,beam_search,1130,44,0,0.13953495025634766,second,True,True
hard_map2,beam_search,865,39,0,0.06469583511352539,second,True,True
large_map1,beam_search,579,29,0,0.058266639709472656,second,True,True
large_map2,beam_search,1325,50,0,0.15724658966064453,second,True,True
medium_map1,beam_search,653,27,0,0.045702219009399414,second,True,True
medium_map2,beam_search,716,32,0,0.057221174240112305,second,True,True
super_hard_map1,beam_search,1735,63,0,0.30579066276550293,second,True,True
easy_map1,beam_search,168,19,0,0.008026599884033203,third,True,True
easy_map2,beam_search,112,9,0,0.005116939544677734,third,True,True
hard_map1,beam_search,742,31,0,0.05986309051513672,third,True,True
hard_map2,beam_search,918,39,0,0.0751039981842041,third,True,True
large_map1,beam_search,579,29,0,0.059760093688964844,third,True,True
medium_map1,beam_search,773,31,0,0.05448269844055176,third,True,True
medium_map2,beam_search,925,39,0,0.07221698760986328,third,True,True
