name,method,explored_states,solution_length,undo_moves,time,heuristic,no_pulls,caching
easy_map1,ida_star,1930,19,0,0.04003095626831055,best,True,True
easy_map2,ida_star,92,9,0,0.0021572113037109375,best,True,True
hard_map1,ida_star,35522,31,0,1.229778528213501,best,True,True
hard_map2,ida_star,158257,38,0,4.038464307785034,best,True,True
large_map1,ida_star,15664,29,0,0.4812352657318115,best,True,True
large_map2,ida_star,2993250,40,0,106.13646245002747,best,True,True
medium_map1,ida_star,31061,21,0,0.7012054920196533,best,True,True
medium_map2,ida_star,71484,32,0,2.0165975093841553,best,True,True
super_hard_map1,ida_star,9187562,53,0,284.70993852615356,best,True,True
easy_map1,ida_star,2087,17,1,0.04728412628173828,best,True,True
easy_map2,ida_star,137,9,0,0.003703594207763672,best,True,True
hard_map1,ida_star,82966,26,1,3.134617805480957,best,True,True
hard_map2,ida_star,484234,35,2,14.120195627212524,best,True,True
large_map1,ida_star,10533,25,6,0.3407421112060547,best,True,True
large_map2,ida_star,301466,30,5,11.380160808563232,best,True,True
medium_map1,ida_star,232,11,3,0.0069732666015625,best,True,True
medium_map2,ida_star,10115,19,3,0.33645153045654297,best,True,True
super_hard_map1,ida_star,1713694,32,13,58.01431488990784,best,True,True
easy_map1,ida_star,2087,17,1,0.04805874824523926,best,False,True
easy_map2,ida_star,137,9,0,0.00403594970703125,best,False,True
hard_map1,ida_star,82966,26,1,3.0070245265960693,best,False,True
hard_map2,ida_star,484234,35,2,14.34278392791748,best,False,True
large_map1,ida_star,10533,25,6,0.3375215530395508,best,False,True
large_map2,ida_star,301466,30,5,11.756924152374268,best,False,True
medium_map1,ida_star,232,11,3,0.006681919097900391,best,False,True
medium_map2,ida_star,10115,19,3,0.3288872241973877,best,False,True
super_hard_map1,ida_star,1713694,32,13,59.35928750038147,best,False,True
easy_map1,ida_star,1930,19,0,0.031786441802978516,second,True,True
easy_map2,ida_star,92,9,0,0.0016663074493408203,second,True,True
hard_map1,ida_star,35522,31,0,1.1755101680755615,second,True,True
hard_map2,ida_star,158257,38,0,3.6667227745056152,second,True,True
large_map1,ida_star,15664,29,0,0.4155747890472412,second,True,True
large_map2,ida_star,2993250,40,0,93.12723565101624,second,True,True
medium_map1,ida_star,31061,21,0,0.5857751369476318,second,True,True
medium_map2,ida_star,71484,32,0,1.6761481761932373,second,True,True
super_hard_map1,ida_star,9187562,53,0,450.2521412372589,second,True,True
easy_map1,ida_star,1930,19,0,0.03316617012023926,third,True,True
easy_map2,ida_star,92,9,0,0.0015401840209960938,third,True,True
hard_map1,ida_star,54881,31,0,1.5956413745880127,third,True,True
hard_map2,ida_star,166615,38,0,3.792593240737915,third,True,True
large_map1,ida_star,28945,29,0,0.7762889862060547,third,True,True
large_map2,ida_star,5899742,40,0,178.75760507583618,third,True,True
medium_map1,ida_star,37361,21,0,0.6824285984039307,third,True,True
medium_map2,ida_star,147572,32,0,3.4019720554351807,third,True,True
super_hard_map1,ida_star,16041344,53,0,455.3167927265167,third,True,True

