name,method,explored_states,solution_length,undo_moves,time,heuristic,no_pulls,caching
easy_map1,ida_star,1930,19,0,0.04003095626831055,best,True,True
easy_map1,beam_search,168,19,0,0.008352994918823242,best,True,True
easy_map2,ida_star,92,9,0,0.0021572113037109375,best,True,True
easy_map2,beam_search,112,9,0,0.005891323089599609,best,True,True
hard_map1,ida_star,35522,31,0,1.229778528213501,best,True,True
hard_map1,beam_search,1130,44,0,0.0964500904083252,best,True,True
hard_map2,ida_star,158257,38,0,4.038464307785034,best,True,True
hard_map2,beam_search,865,39,0,0.06735992431640625,best,True,True
large_map1,ida_star,15664,29,0,0.4812352657318115,best,True,True
large_map1,beam_search,579,29,0,0.06241941452026367,best,True,True
large_map2,ida_star,2993250,40,0,106.13646245002747,best,True,True
large_map2,beam_search,1325,50,0,0.19164824485778809,best,True,True
medium_map1,ida_star,31061,21,0,0.7012054920196533,best,True,True
medium_map1,beam_search,653,27,0,0.05179452896118164,best,True,True
medium_map2,ida_star,71484,32,0,2.0165975093841553,best,True,True
medium_map2,beam_search,716,32,0,0.06070351600646973,best,True,True
super_hard_map1,ida_star,9187562,53,0,284.70993852615356,best,True,True
super_hard_map1,beam_search,1735,63,0,0.1675863265991211,best,True,True
easy_map1,ida_star,2087,17,1,0.04805874824523926,best,False,True
easy_map1,beam_search,169,17,1,0.009490489959716797,best,False,True
easy_map2,ida_star,137,9,0,0.00403594970703125,best,False,True
easy_map2,beam_search,119,9,0,0.008183956146240234,best,False,True
hard_map1,ida_star,82966,26,1,3.0070245265960693,best,False,True
hard_map1,beam_search,804,30,1,0.09500908851623535,best,False,True
hard_map2,ida_star,484234,35,2,14.34278392791748,best,False,True
hard_map2,beam_search,891,35,2,0.08771395683288574,best,False,True
large_map1,ida_star,10533,25,6,0.3375215530395508,best,False,True
large_map1,beam_search,542,25,6,0.0732877254486084,best,False,True
large_map2,ida_star,301466,30,5,11.756924152374268,best,False,True
large_map2,beam_search,796,32,2,0.13319706916809082,best,False,True
medium_map1,ida_star,232,11,3,0.006681919097900391,best,False,True
medium_map1,beam_search,190,11,3,0.0220029354095459,best,False,True
medium_map2,ida_star,10115,19,3,0.3288872241973877,best,False,True
medium_map2,beam_search,441,19,4,0.052620649337768555,best,False,True
super_hard_map1,ida_star,1713694,32,13,59.35928750038147,best,False,True
super_hard_map1,beam_search,1022,37,13,0.15222930908203125,best,False,True
easy_map1,ida_star,1930,19,0,0.031786441802978516,second,True,True
easy_map1,beam_search,168,19,0,0.007910966873168945,second,True,True
easy_map2,ida_star,92,9,0,0.0016663074493408203,second,True,True
easy_map2,beam_search,112,9,0,0.005882978439331055,second,True,True
hard_map1,ida_star,35522,31,0,1.1755101680755615,second,True,True
hard_map1,beam_search,1130,44,0,0.13953495025634766,second,True,True
hard_map2,ida_star,158257,38,0,3.6667227745056152,second,True,True
hard_map2,beam_search,865,39,0,0.06469583511352539,second,True,True
large_map1,ida_star,15664,29,0,0.4155747890472412,second,True,True
large_map1,beam_search,579,29,0,0.058266639709472656,second,True,True
large_map2,ida_star,2993250,40,0,93.12723565101624,second,True,True
large_map2,beam_search,1325,50,0,0.15724658966064453,second,True,True
medium_map1,ida_star,31061,21,0,0.5857751369476318,second,True,True
medium_map1,beam_search,653,27,0,0.045702219009399414,second,True,True
medium_map2,ida_star,71484,32,0,1.6761481761932373,second,True,True
medium_map2,beam_search,716,32,0,0.057221174240112305,second,True,True
super_hard_map1,ida_star,9187562,53,0,450.2521412372589,second,True,True
super_hard_map1,beam_search,1735,63,0,0.30579066276550293,second,True,True
easy_map1,ida_star,1930,19,0,0.03316617012023926,third,True,True
easy_map1,beam_search,168,19,0,0.008026599884033203,third,True,True
easy_map2,ida_star,92,9,0,0.0015401840209960938,third,True,True
easy_map2,beam_search,112,9,0,0.005116939544677734,third,True,True
hard_map1,ida_star,54881,31,0,1.5956413745880127,third,True,True
hard_map1,beam_search,742,31,0,0.05986309051513672,third,True,True
hard_map2,ida_star,166615,38,0,3.792593240737915,third,True,True
hard_map2,beam_search,918,39,0,0.0751039981842041,third,True,True
large_map1,ida_star,28945,29,0,0.7762889862060547,third,True,True
large_map1,beam_search,579,29,0,0.059760093688964844,third,True,True
large_map2,ida_star,5899742,40,0,178.75760507583618,third,True,True
medium_map1,ida_star,37361,21,0,0.6824285984039307,third,True,True
medium_map1,beam_search,773,31,0,0.05448269844055176,third,True,True
medium_map2,ida_star,147572,32,0,3.4019720554351807,third,True,True
medium_map2,beam_search,925,39,0,0.07221698760986328,third,True,True
super_hard_map1,ida_star,16041344,53,0,455.3167927265167,third,True,True
super_hard_map1,beam_search,9465,59,0,1.0156080722808838,third,True,True
large_map2,beam_search,6672,43,0,1.008408784866333,third,True,True
easy_map1,ida_star,1930,19,0,0.040770530700683594,best,True,False
easy_map1,beam_search,168,19,0,0.010387182235717773,best,True,False
easy_map2,ida_star,92,9,0,0.002773284912109375,best,True,False
easy_map2,beam_search,112,9,0,0.007428646087646484,best,True,False
hard_map1,ida_star,35522,31,0,1.3457212448120117,best,True,False
hard_map1,beam_search,1130,44,0,0.1488204002380371,best,True,False
hard_map2,ida_star,158257,38,0,4.71174168586731,best,True,False
hard_map2,beam_search,865,39,0,0.0748739242553711,best,True,False
large_map1,ida_star,15664,29,0,0.5603485107421875,best,True,False
large_map1,beam_search,579,29,0,0.07897710800170898,best,True,False
large_map2,ida_star,2993250,40,0,112.72877073287964,best,True,False
large_map2,beam_search,1325,50,0,0.18542957305908203,best,True,False
medium_map1,ida_star,31061,21,0,0.7710223197937012,best,True,False
medium_map1,beam_search,653,27,0,0.062096357345581055,best,True,False
medium_map2,ida_star,71484,32,0,2.2459664344787598,best,True,False
